Anzahl;Name;Art-Nummer;Hersteller;;Link;
4;Stehlager;UCP204;SKF;;https://www.kugellager-express.de/stehlager-lagerbock-stehlagereinheit-ucp204-welle-20-mm;https://www.amazon.de/gp/product/B0CY21PZ79/ref=ox_sc_act_title_5?smid=A3GOZYCJQ7M67E&psc=1
1;Nema 17 Stepper;17HE19-2004S;StepperOnline;;https://www.omc-stepperonline.com/de/e-serie-nema-17-bipolar-59ncm-84oz-in-2a-42x48mm-4draehte-w-1m-kabel-verbinder-17he19-2004s;
1;Axialgelenkkopf M10;;;;https://www.fk-soehnchen.de/werkstatt/normteile/gelenkkoepfe-winkelgelenke/Axialgelenkkopf-M10-AG-IG-DIN-71802-CS-FKS-Trailer.html?gad_source=1&gad_campaignid=17181841591&gbraid=0AAAAAD_LWYrlEPP9fV8R-WA1PbOCsUbB-&gclid=CjwKCAjw6ZTCBhBOEiwAqfwJd9Lp-LC_jJy6KwHtSh1fiZ8-eNuUlIH_MfqgHNb1zSeX8M8oyKCuCxoCvE0QAvD_BwE;
1;"Linearwelle 20mm,"" Länge 150mm";35585Z;CNCShop;;https://www.cncshop.at/Linearwelle-Praezisionswelle-O-20-mm-gehaertet-millimetergenauer-Zuschnitt;"https://www.amazon.de/gp/product/B0DBX14SD8/ref=ox_sc_act_title_4?smid=A19TP5HTZOPTXA&th=1"""
1;"Linearwelle 20mm,"" Länge 150mm";35585Z;CNCShop;;https://www.cncshop.at/Linearwelle-Praezisionswelle-O-20-mm-gehaertet-millimetergenauer-Zuschnitt;"https://www.amazon.de/gp/product/B0DBX14SD8/ref=ox_sc_act_title_4?smid=A19TP5HTZOPTXA&th=1"""
4;Möbelfüße;;;;https://www.amazon.de/NVIYAM-Verstellbare-HöHenverstellbar-Schrankbeine-HöHenverstellbare/dp/B0CXPNVP83;
1;20mm Kompass;;;;https://www.amazon.de/Vbest-life-umweltfreundlicher-Präzisionskompass-Outdoor-Aktivitäten/dp/B08VRJM3YF;
1;Dosenlibelle;;;;https://www.amazon.de/Taskar-Große-Wasserwaage-Zielscheibendesign-Dosenlibelle/dp/B01KAIBO8I;
8;M5x30mm Zylinderkopf;;;;;
2;M5x18mm Zylinderkopf;;;;;
10;M5 Gewindeeinsätze;;;;;
4;M8x40mm Zylinderkopf;;;;;
8;M12x40mm Zylinderkopf;;;;;
4;M8 Gewindeeinstaz;;;;;
1;M10x25mm Zylinderkopf;;;;;
8;M12 Mutter;;;;;
1;M10 Gewindeeinsatz;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
für Platine;;;;;;
;;;;;;
1;Kippschalter 3polig;;;;https://www.amazon.de/dp/B0FH6HK1MK?ref=ppx_yo2ov_dt_b_fed_asin_title;
1;Kippschalter 2polig;;;;https://www.amazon.de/dp/B0CS32CZ4N?ref=ppx_yo2ov_dt_b_fed_asin_title&th=1;
2;4.7kOhm Widerstand;;;;;
1;100μF Elko;;;;;
1;Arduino nano;;;;;
1;TMC2009 Stepper driver;;;;;
1;10kOhm Potentiometer;;;;https://www.amazon.de/AZDelivery-Potentiometer-Schutzwiderstand-einstellbarem-Elektronik-Projekte/dp/B09Z727ZK3/ref=pd_ci_mcx_mh_mcx_views_0_title?pd_rd_w=XtuLD&content-id=amzn1.sym.e43449ad-4bb7-4aee-a0fd-e15d81a9f8db%3Aamzn1.symc.30e3dbb4-8dd8-4bad-b7a1-a45bcdbc49b8&pf_rd_p=e43449ad-4bb7-4aee-a0fd-e15d81a9f8db&pf_rd_r=BS1E3H1N3E6DVT9MT78K&pd_rd_wg=AmdK1&pd_rd_r=73901842-ce3e-42b0-9ce5-929c87b6fe8f&pd_rd_i=B09Z727ZK3;
1;1kOhm Widerstand;;;;;
1;DC Power Jack;;;;https://www.amazon.de/dp/B09TVG21DR?ref_=ppx_hzsearch_conn_dt_b_fed_asin_title_8;
;Kabel;;;;;
;;;;;;
für Motor;;;;;;
;;;;;;
1;GT2 Pulley mit 66Zähnen und 20mm Bohrung;;;;https://www.amazon.de/gp/product/B0BM7C37W6/ref=ox_sc_act_title_2?th=1;
1;GT2 Pulley mit 66Zähnen und 5mm Bohrung;;;;https://www.amazon.de/gp/product/B0BM7CL26H/ref=ox_sc_act_title_2?th=1;
1;GT2 Riemen 252mm;;;;https://www.amazon.de/Turmberg3D-GT2-geschlossener-Zahnriemen-breit/dp/B09B2FTJG2?th=1;
4;M4x10mm;;;;;
4;M4 Flügelmutter;;;;;
1;Nema17 Motorhalter;;;;https://www.roboter-bausatz.de/p/cnc-motorhalter-fuer-nema-17-stahl-lackiert?sPartner=8&gad_source=1&gad_campaignid=12461217733&gbraid=0AAAAADKFiCC572xnm60iXyhIIO-X2sXnK&gclid=Cj0KCQjwrc7GBhCfARIsAHGcW5VynkpsuxuvlQ_zKBxsK1-e9Or49mE5RPHOYRZwchelvRbdZ7osaAMaArgcEALw_wcB;
;;;;;;
alternative Pulley;;;;;;
1;GT2 Pulley mit 60Zähnen und 20mm Bohrung;;;;https://www.ebay.de/itm/283315656377?var=585441520088;
1;GT2 Pulley mit 60Zähnen und 5mm Bohrung;;;;https://www.ebay.de/itm/283315656377?var=585025920459;
1;GT2 Riemen 250mm;;;;https://www.ebay.de/itm/283301228134?var=585116115700;
;;;;;;
